"Add New Tax Class", "Add New VAT Class"
"Add New Tax Rate", "Add New VAT Rate"
"Add New Tax Rule", "Add New VAT Rule"
"An error occurred while deleting this tax rate.", "An error occurred while deleting this VAT rate."
"An error occurred while loading this tax rate.", "An error occurred while loading this VAT rate."
"Apply Customer Tax", "Apply Customer VAT"
"Apply Discount", "Apply"
"Apply Discount Code", "Apply Promotional Code"
"Apply discount on price including tax is calculated based on store tax, if "Apply Tax after Discount" is selected.", "Apply discount on price including VAT is calculated based on store VAT, if "Apply VAT after Discount" is selected."
"Apply discount on price including tax is calculated based on store tax if "Apply Tax after Discount" is selected.", "Apply discount on price including VAT is calculated based on store VAT if "Apply VAT after Discount" is selected." est sÃ©lectionnÃ©e."
"Apply Tax On", "Apply VAT On"
"Billing Address", "Invoice Address"
"Both (without and with tax)", "Both (without and with VAT)"
"Cart", "Trolley"
"Click here to go to <a href="%1">Tax Configuration</a> and change your settings.", "Click here to go to <a href="%1">VAT Configuration</a> and change your settings."
"Customer Tax Class", "Customer VAT Class"
"Default State", "Default County"
"Default Tax Class for Customer", "Default VAT Class for Customer"
"Default Tax Class for Product", "Default VAT Class for Product"
"Default Tax Destination Calculation", "Default VAT Destination Calculation"
"Display Full Tax Summary", "Display Full VAT Summary"
"Display Shipping Amount", "Display Delivery Amount"
"Display Shipping Prices", "Display Delivery Prices"
"Display Zero Tax Subtotal", "Display Zero VAT Subtotal"
"Do you really want to delete this tax class?", "Do you really want to delete this VAT class?"
"Do you really want to delete this tax rate?", "Do you really want to delete this VAT rate?"
"Edit Tax Rate", "Edit VAT Rate"
"Enter discount code", "Enter code"
"Estimate Shipping and Tax", "Estimate Shipping and VAT"
"Excl. Tax", "Excl. VAT"
"Excl. tax:", "Excl. VAT:"
"(Excl. Tax)", "(Excl. VAT)"
"Excluding Tax", "Excluding VAT"
"Export Tax Rates", "Export VAT Rates"
"Grand Total (Excl.Tax)", "Grand Total (Excl.VAT)"
"Grand Total (Excl. Tax)", "Grand Total (Excl. VAT)"
"Grand Total Excl. Tax", "Grand Total Excl. VAT"
"Grand Total (Incl. Tax)", "Grand Total (Incl. VAT)"
"Grand Total Incl. Tax", "Grand Total Incl. VAT"
"Grand Total (Incl.Tax)", "Grand Total (Incl.VAT)"
"Import and Export Tax Rates", "Import and Export VAT Rates"
"Import/Export Tax Rates", "Import/Export VAT Rates"
"Import Tax Rates", "Import VAT Rates"
"Incl. Tax", "Incl. VAT"
"(Incl. Tax)", "(Incl. VAT)"
"Include Tax In Grand Total", "Include VAT In Grand Total"
"Include Tax In Order Total", "Include VAT In Order Total"
"Including and Excluding Tax", "Including and Excluding VAT"
"Including Tax", "Including VAT"
"Invalid name of tax class specified.", "Invalid name of VAT class specified."
"Invalid type of tax class "%1"", "Invalid type of VAT class %1"
"Leave this field empty if you wish to use the tax identifier.", "Leave this field empty if you wish to use the VAT identifier."
"Manage Tax Rates", "Manage VAT Rates"
"Manage Tax Rules", "Manage VAT Rules"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.", "'*' - correspond Ã  tout; 'xyz*' - correspond Ã  ce qui commence par 'xyz' et qui ne fait pas plus de %1 caractÃ¨res."
"Maximum zip code length is 9.", "Maximum post code length is 9."
"New Tax Rate", "New VAT Rate"
"New Tax Rule", "New VAT Rule"
"No (price without tax)", "No (price without VAT)"
"Order Total Excl. Tax", "Order Total Excl. VAT"
"Order Total Incl. Tax", "Order Total Incl. VAT"
"Product Tax Class", "Product VAT Class"
"Shipping Address", "Delivery Address"
"Shipping Excl. Tax (%1)", "Delivery Excl. VAT (%1)"
"Shipping (Excl. Tax)", "Delivery (Excl. VAT)"
"Shipping & Handling (Excl.Tax)", "Delivery & Handling (Excl.VAT)"
